MSO_Code,Device ID,Event Date,Event Time,Station Number,Program Code
01540,000000006075,20150104,230159,11867,EP011580820079
01540,000000006075,20150104,230205,32645,EP000009937448
01540,000000006075,20150104,230223,99993,MP_MISSINGPROGRAM
01540,000000006075,20150104,230235,59432,EP001151270139
01540,000000006075,20150104,230243,99993,MP_MISSINGPROGRAM
01540,000000006075,20150104,230249,32645,EP000009937448
01540,000000006075,20150104,230337,59432,EP001151270139
01540,000000006075,20150104,230405,32645,EP000009937448
01540,000000006075,20150104,230431,59432,EP001151270139
01540,000000006075,20150104,230441,32645,EP000009937448
01540,000000006075,20150104,231136,59432,EP001151270139
01540,000000006075,20150104,231309,32645,EP000009937448
01540,000000006075,20150104,232815,59432,EP001151270139
01540,000000006075,20150104,233000,59432,EP001151270140
01540,000000006075,20150104,233015,32645,EP000009937448
01540,000000006075,20150104,234202,59432,EP001151270140
01540,000000006075,20150104,234344,32645,EP000009937448
01540,000000006075,20150104,234434,59432,EP001151270140
01540,000000006075,20150104,234512,32645,EP000009937448
01540,000000007a59,20150104,000000,31226,EP000037100926
01540,000000007a59,20150104,000245,14771,EP020382010002
01540,000000007a59,20150104,020100,14771,EP020382010001
01540,000000007a59,20150104,022154,11486,EP016106790026
01540,000000007a59,20150104,022454,16615,EP012964250014
01540,000000007a59,20150104,023000,16615,EP012964250002
01540,000000007a59,20150104,030000,16615,EP012964250095
01540,000000007a59,20150104,033000,16615,EP012964250070
01540,000000007a59,20150104,034213,11486,EP002036520445
01540,000000007a59,20150104,040000,11486,EP000768040049
01540,000000007a59,20150104,040835,11207,EP004461730042
01540,000000007a59,20150104,050000,11207,EP004461730041
01540,000000007a59,20150104,060000,11207,SH020665160000
01540,000000007a59,20150104,060030,10142,SH017498070000
01540,000000007a59,20150104,060046,18284,EP017355370001
01540,000000007a59,20150104,060057,16615,EP010210860180
01540,000000007a59,20150104,070000,16615,EP010210860181
01540,000000007a59,20150104,080000,16615,EP010210860214
01540,000000007a59,20150104,090000,16615,EP010210860202
01540,000000007a59,20150104,100000,16615,EP020547120001
01540,000000007a59,20150104,110000,16615,EP020547120002
01540,000000007a59,20150104,120000,16615,EP020547120003
01540,000000007a59,20150104,120650,11896,SH002769000000
01540,000000007a59,20150104,130000,11896,EP000031281216
01540,000000007a59,20150104,144845,30754,EP000031281216
01540,000000007a59,20150104,160616,42599,SH001148370000
01540,000000007a59,20150104,160648,30754,EP000031281216
01540,000000007a59,20150104,160709,42599,SH001148370000
01540,000000007a59,20150104,163000,42599,EP000031281283
01540,000000007a59,20150104,193000,42599,SH007795570000
01540,000000007a59,20150104,200000,42599,EP000186930566
01540,000000007a59,20150104,200452,14321,MV003744420000
01540,000000007a59,20150104,212414,58574,MV003744420000
01540,000000007a59,20150104,222839,11486,SH020325450000
01540,000000007a59,20150104,230300,11486,EP000004390492
01540,000000007a59,20150104,231017,11913,SH006856650000
01540,000000007a59,20150104,231952,10145,EP003915550157
01540,000000007a59,20150104,233000,10145,EP003915550045
01540,000000007a59,20150104,233500,11913,EP006724492936
01540,000000007d0c,20150104,000000,11207,EP006819110218
01540,000000007d0c,20150104,010000,11207,EP006819110220
01540,000000007d0c,20150104,013455,99993,MP_MISSINGPROGRAM
01540,000000007d0c,20150104,030501,11207,EP004461730039
01540,000000007d0c,20150104,030512,99993,MP_MISSINGPROGRAM
01540,000000007d0c,20150104,050538,11207,EP004461730041
01540,000000007d0c,20150104,060000,11207,SH020665160000
01540,000000007d0c,20150104,070000,11207,SH017933110000
01540,000000007d0c,20150104,073000,11207,EP003701690154
01540,000000007d0c,20150104,080000,11207,SH014988890000
01540,000000007d0c,20150104,080618,10035,EP007537910092
01540,000000007d0c,20150104,090000,10035,EP007537910095
01540,000000007d0c,20150104,100000,10035,EP007537910016
